iter	Passed	Remaining
894	2164	253
895	2166	251
896	2169	249
897	2171	246
898	2174	244
899	2177	241
900	2179	239
901	2182	237
902	2184	234
903	2186	232
904	2189	229
905	2191	227
906	2194	224
907	2196	222
908	2198	220
909	2200	217
910	2203	215
911	2206	212
912	2208	210
913	2210	208
914	2213	205
915	2215	203
916	2217	200
917	2220	198
918	2223	195
919	2225	193
920	2228	191
921	2230	188
922	2233	186
923	2235	183
924	2238	181
925	2240	179
926	2242	176
927	2244	174
928	2247	171
929	2249	169
930	2252	166
931	2254	164
932	2257	162
933	2259	159
934	2261	157
935	2264	154
936	2266	152
937	2269	150
938	2272	147
939	2274	145
940	2276	142
941	2279	140
942	2281	137
943	2284	135
944	2286	133
945	2288	130
946	2291	128
947	2293	125
948	2296	123
949	2298	120
950	2301	118
951	2303	116
952	2306	113
953	2308	111
954	2310	108
955	2313	106
956	2315	104
957	2318	101
958	2320	99
959	2323	96
960	2325	94
961	2327	91
962	2330	89
963	2332	87
964	2335	84
965	2337	82
966	2339	79
967	2341	77
968	2344	74
969	2346	72
970	2348	70
971	2351	67
972	2353	65
973	2356	62
974	2358	60
975	2360	58
976	2363	55
977	2366	53
978	2368	50
979	2370	48
980	2372	45
981	2375	43
982	2377	41
983	2379	38
984	2382	36
985	2385	33
986	2387	31
987	2389	29
988	2391	26
989	2394	24
990	2396	21
991	2399	19
992	2401	16
993	2404	14
994	2406	12
995	2408	9
996	2411	7
997	2413	4
998	2416	2
999	2419	0
